"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 24 06:51:51 GMT 2024","Sat Aug 24 06:51:51 GMT 2024","66","heatwave","Admin","Categories","","","Categories-Invalid Token",""
"failed","Sat Aug 24 06:51:51 GMT 2024","Sat Aug 24 06:51:51 GMT 2024","48","heatwave","Admin","Utilities","","","States and LGA",""
"passed","Sat Aug 24 06:51:52 GMT 2024","Sat Aug 24 06:51:52 GMT 2024","43","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"passed","Sat Aug 24 06:51:53 GMT 2024","Sat Aug 24 06:51:53 GMT 2024","46","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"passed","Sat Aug 24 06:51:54 GMT 2024","Sat Aug 24 06:51:54 GMT 2024","46","heatwave","Customer","Cart","","","Update Cart-Empty ID",""
"passed","Sat Aug 24 06:51:50 GMT 2024","Sat Aug 24 06:51:50 GMT 2024","169","heatwave","Admin","Auth > Login","","","Login",""
"failed","Sat Aug 24 06:51:49 GMT 2024","Sat Aug 24 06:51:49 GMT 2024","194","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Email",""
"failed","Sat Aug 24 06:51:51 GMT 2024","Sat Aug 24 06:51:51 GMT 2024","44","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"broken","Sat Aug 24 06:51:49 GMT 2024","Sat Aug 24 06:51:49 GMT 2024","33","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"failed","Sat Aug 24 06:51:52 GMT 2024","Sat Aug 24 06:51:52 GMT 2024","56","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 24 06:51:52 GMT 2024","Sat Aug 24 06:51:52 GMT 2024","67","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Sat Aug 24 06:51:52 GMT 2024","Sat Aug 24 06:51:52 GMT 2024","192","heatwave","Customer","Auth > Sign Up","","","SignUp",""
"passed","Sat Aug 24 06:51:54 GMT 2024","Sat Aug 24 06:51:54 GMT 2024","55","heatwave","Customer","Orders","","","Verify Order/Create Order",""
"passed","Sat Aug 24 06:51:54 GMT 2024","Sat Aug 24 06:51:54 GMT 2024","43","heatwave","Customer","Cart","","","Cart",""
